@@@TOPICS@@@
ID,post_title,post_parent,menu_order
11640,"الوحدة الخامسة | Stack using Linked List",11287,6
11639,"الوحدة الرابعة : Stack Using Array",11287,5
11628,"الوحدة الثالثة | Double Linked List",11287,4
11615,"الوحدة الثانية : Linked List",11287,3
11602,"الوحدة الاول : Array And Pointers",11287,2
24110,"ما هي هياكل البيانات",11287,1
24297,"حل مشاكل فيجول استديو | visual studio code",24275,2
24276,"فيجول استديو كود",24275,1
24241,"تعلم نوشن في 50 دقيقة",24218,1
22724,"Fundamental Concept of HTML",22593,2
22723,"Basic Introduction",22593,1
22587,Bonus,22581,2
22582,Introduction,22581,1
22575,"Test and Deployment",22569,2
22570,"Building The API",22569,1
22563,"Disrupt Yourself",22557,2
22558,Introduction,22557,1
22551,"Python Language Basics",22545,2
22546,"Intro to Java",22545,1
22722,"Summary & Resources",22533,2
22721,"Mindset Of An Professional Author",22533,1
22527,"A look at the psychology of educating.",22521,2
22522,Introduction,22521,1
22515,"Building A Medical Inventory Management Application",22509,2
22510,"Course Introduction",22509,1
22503,"Python Generators",22497,2
22498,"Python Setup",22497,1
22491,"Object Orientated Programming",22485,2
22486,"Advanced Methods",22485,1
22479,"Congratulations - AWS Certified Cloud Practitioner",22472,2
22473,Introduction,22472,1
22463,"Deploy MySQL Database in AWS with RDS",22457,2
22458,"Getting Started with Amazon Web Services",22457,1
22451,"The Weather App Project",22445,2
22446,Introduction,22445,1
22439,"The Psychology of Positive Mental Health",22433,2
22434,"The Essential Principles of Personal Growth & Development",22433,1
22427,"Content Marketing Machine",22421,2
22422,Introduction,22421,1
22415,"Holistic Health and Wellness Coaching Success Plan",22409,2
22410,"Health Wellness Coaching Holistic Certification Program",22409,1
22403,"Health Wellness Coaching QS Empower Session",22397,2
22398,"Health Wellness Coaching Tools: Life Balance Assessment",22397,1
22391,Introduction,22385,2
22386,Introduction,22385,1
22379,"Final Module",22373,2
22374,"Health & Wealth",22373,1
22367,"Holistic Nutrition To Boost Health",22361,2
22362,"The 5 Holistic Nutrition Priorities",22361,1
22355,"Bonus Material: Essential Kitchen Equipment",22349,2
22350,"Essential Cooking Skills",22349,1
22343,"Starting The Culinary Course",22337,2
22338,Recipes,22337,1
22331,"Bonus Recipes",22325,2
22326,"Chef Eric's Culinary Classroom",22325,1
22319,"Restaurant recipes",22313,2
22314,"COOKING BASICS",22313,1
22307,"Anatomy, Physiology & Ayurveda",22301,2
22302,"Practical Yoga Classes",22301,1
22295,"History of Yoga",22289,2
22290,"Philosophy of Yoga",22289,1
22282,"Ashtanga Yoga",22276,2
22277,"Paths of Yoga",22276,1
22270,"Patanjali Yoga Sutras",22264,2
22265,"Beyond the Physical Body",22264,1
22258,Sensorial,22252,2
22253,Introduction,22252,1
22246,"How Students Learn",22240,2
22241,"What is Educational Psychology?",22240,1
22234,"Building Self-Esteem & Effective Learning Lessons",22228,2
22229,"Child Development - What Every Teacher Should Know",22228,1
22222,"Exposure in Photography",22216,2
22217,"Photography Masterclass Introduction & Course Downloads",22216,1
22210,"Focus and Depth of Field in Photography",22204,2
22205,"Composition in Photography",22204,1
22198,"White Balance and Color in Photography",22192,2
22193,"Camera Anatomy & Settings in Photography",22192,1
22186,"Photography Equipment - Accessories",22180,2
22181,"Mobile Photography",22180,1
22174,"Lettering in procreate",22168,2
22169,"Introduction to Procreate",22168,1
22162,"Final Project- using Procreate to create a T-shirt image",22156,2
22157,"Animation in Procreate",22156,1
22150,"Fundamentals of procreate",22144,2
22145,Introduction,22144,1
22138,Verbs,22132,2
22133,"Introduction and Basics of Arabic Grammar",22132,1
22126,"Suratul Baqarah - Word for Word Study - Continued",22120,2
22121,"Irregular Verbs",22120,1
22114,"Revision Course",22108,2
22109,Introduction,22108,1
22102,"Conversations Course",22096,2
22097,"Grammar Course",22096,1
22090,"Exercises Course",22084,2
22085,"Teacher Hafida",22084,1
22078,Intermediate,22072,2
22073,Welcome,22072,1
22066,"The Major Muscle Groups Explained",22060,2
22061,Introduction,22060,1
22054,"Workout Design",22048,2
22049,"Muscle Growth Fundamentals",22048,1
22042,"Setting Up A Bodybuilding Diet",22036,2
22037,"Compound Exercises",22036,1
22030,"Rest & Recovery",22024,2
22025,Supplements,22024,1
22018,"The Science Behind Building Muscle & Losing Fat",22012,2
22013,Introduction,22012,1
22006,"Motivation & Goal Setting",22000,2
22001,"Bodyweight Workout Program",22000,1
21994,"Website Building",21988,2
21989,"Market Research",21988,1
21982,"Email Marketing",21976,2
21977,"Search Engine Optimization (SEO)",21976,1
21970,"Prompt Engineering with ChatGPT",21964,2
21965,"Google Analytics 4",21964,1
21958,"Content Marketing",21952,2
21953,Branding,21952,1
21946,Copywriting,21940,2
21941,"Sales Psychology",21940,1
21934,"Content Marketing Machine",21928,2
21929,"LinkedIn Marketing",21928,1
21922,"Beginner Moves",21916,2
21917,Introduction,21916,1
21910,"Advanced Moves",21904,2
21905,"Intermediate Moves",21904,1
21898,"Test Your Skills | Level 2",21892,2
21893,"Test Your Skills | Level 1",21892,1
21886,"Getting Ready For The Gym",21880,2
21881,"Introduction / Diet",21880,1
21874,"You're Getting The Hang Of This!",21868,2
21869,"Let's Get Started!",21868,1
21862,"Turning Up The Heat!",21852,2
21856,"Woah! We're Halfway There!",21852,1
@@@LESSONS@@@
ID,post_title,post_parent,menu_order
36383,"اليوم الثاني",36211,2
36382,"التحدي الثاني",0,1
36213,"اليوم الاول",36211,1
34806,"السؤال الاخير",30876,8
34805,"PostOrder Code",30876,7
34804,"PostOrder Traversal",30876,6
34803,"Inorder Code",30876,5
34802,"inOrder Traversal",30876,4
34801,"PreOrder Code",30876,3
34800,"Preorder Traversal",30876,2
34799,"يعني ايه Traversal",30876,1
34602,"Find Minimum Value",30875,16
34601,"Find Max Value",30875,15
34600,"Search Function part 2",30875,14
34599,"Search function part 1",30875,13
34571,"insert function الجزء الخامس ✅",30875,12
34570,"insert function الجزء الرابع",30875,11
34569,"insert Function الجزء الثالث",30875,10
34568,"insert function الجزء الثاني",30875,9
34567,"Insert function الجزء الاول",30875,8
34349,"System.err (Error Output Stream)",34341,7
34348,"Finally | لا مش نهاية الكورس 😂",34341,6
34346,"Handle Multiple Exception",34341,5
34345,"انواع exception الجزء الثاني",34341,4
34344,"انواع exception الجزء الاول",34341,3
34343,"سهلة جدا | Try Catch",34341,2
34342,"ما هي Exception",34341,1
34186,"المتغيرات مع الinterface",32330,6
34185,"interface مع الوارثة",32330,5
34184,"Extends Vs implements",32330,4
34183,"الوراثة المتعددة | Multiple Inheritance",32330,3
34182,"ما هو ال Interface",32330,2
34181,"مشكلة الوراثة في لغة جافا",32330,1
34043,"Concrete Vs Abstract",31717,7
34042,"Array of Objects (Using Abstraction)",31717,6
34041,"Polymorphism with Abstraction",31717,5
34040,"مثال كامل ومهم",31717,4
34039,"Abstract Method",31717,3
34038,"Abstract Class",31717,2
34035,"ما هي Abstraction",31717,1
33902,"Array Using Polymorphism",31716,7
33901,"Array of Objects",31716,6
33900,upcasting,31716,5
33839,"مقارنة مهمة | overloading vs overriding",31716,4
33834,"Method overriding | Dynamic Polymorphism (Run-time)",31716,3
33833,"Method Overloading | Static Polymorphism (Compile-time)",31716,2
33832,"ما هي Polymorphism",31716,1
33821,"UML Composition",33322,6
33819,"Inheritance vs Composition",33322,5
33818,"UML 2 سؤال اهم",33322,4
33817,"UML 1 سؤال مهم",33322,3
33326,"المشروع الثالث | الشركة 💻",33322,2
33325,"المشروع الثاني | البنك 🏦💸",33322,1
33324,"المشروع الاول | المركبات🚗🚗",33322,0
33321,"final keyword",31715,14
33110,"الفرق بين Overloading Vs Overriding",31715,13
33109,"method Overriding",31715,12
33108,"Overloading constructor في الوراثة",31715,11
33107,"Parameterize Constructor",31715,10
33098,"Default constructor",31715,9
33097,"super attributes",31715,8
33007,"(method) Super Keyword",31715,7
33006,"Protected Methods",31715,6
33005,"Protected Attributes",31715,5
32950,"انواع الوراثة",31715,4
32949,"Super class VS Sub class",31715,3
32948,"extends keyword",31715,2
32785,"ما هي الوراثة | inheritance",31715,1
32784,"فصل الكلاسات | ازاي تكتب اكثر من كلاس",31715,0
32689,"تنظيم الملفات",31714,4
32688,"تحسين المظهر",31714,3
32687,"كتابة اول كود في IntelliJ",31714,2
32686,"ما هو JDK وتحميلة",31714,1
32685,"تحميل IntelliJ IDE",31714,0
32660,"Methods with Objects",32521,6
32565,"Argument VS Parameter",32521,5
32564,"Destructor / Garbage Collection",32521,4
32559,"static method",32521,3
32557,"مراجعة علي Static Variables تاني 😁",32521,2
32556,"Static variables",32521,1
32525,"toString method",32521,0
32520,"مشروع ⏳",31713,5
32519,"حل امثلة تاني😁",31713,4
32518,"حل امثلة",31713,3
32517,"UML Function",31713,2
32320,"خصائص ال UML",31713,1
32319,"يعني ايه UML Diagram",31713,0
32266,"final Project | مشروع الوحدة📊",31712,13
32258,"اختبار OOP⭐",31712,12
32253,"اختبار شامل علي الاساسيات | مهم جدا🚨",31712,11
32251,"اخطاء شائعة | مهم🚨",31712,10
32250,"كتابة اكتر من كلاس | Two Classes",31712,9
32248,"السؤال الثالث (البنك🏦)",31712,8
32247,"السؤال الثاني (السيارة🚘)",31712,7
32246,"السؤال الاول (الطالب🧑‍🎓)",31712,6
32244,"getter methods",31712,5
32184,"setter methods",31712,4
32183,"public methods",31712,3
32149,"Access Modifiers (Public Private)",31712,2
32148,"ما قبل الكبسلة",31712,1
32142,"The Four Pillars of OOP | الاربع اعمدة",31712,0
31917,Project,31711,11
31879,"قواعد التسمية | Naming Conventions",31711,10
31878,"تمريين مهم",31711,9
31876,"overloading constructor",31711,8
31875,"مراجعة overloading function",31711,7
31874,"This Keyword",31711,6
31873,"Parameterized constructor",31711,5
31870,"Default Constructor",31711,4
31844,"Attributes + Methods",31711,3
31843,Object,31711,2
31842,"بناء اول كلاس | Create First Class",31711,1
31841,"ما هو الكلاس | class",31711,0
31710,"هنكتب كود علي ايه ؟",31707,2
31709,"Procedural Programming VS OOP",31707,1
31708,"ما هي البرمجة الكائينة",31707,0
31634,"تقييم الكورس",31633,1
31306,"تكملة Create Node",30875,7
31305,"Adding Nodes بالرسم (درس ممتع ❤️)",30875,6
31304,"Create Node BST",30875,5
31303,"العمليات الرئيسية | Operation BST",30875,4
31302,"حل اسئلة | Binary Search",30875,3
31301,"القاعدة الذهبية",30875,2
31299,"الفرق بين | General vs Binary Tree",30875,1
31298,"Binary Search Tree",30875,0
30954,"مقدمة الكورس",30953,0
30914,"المستوي الثاني",30912,1
30894,"Binary Search Tree | مقدمة",30874,15
30893,"Binary Trees Array قواعد| الجزء الثاني",30874,14
30892,"Binary Trees Array تمثيل | الجزء الاول",30874,13
30891,"Skewed + Similar + Copy or Identical Binary) Trees)",30874,12
30890,"اسئلة علي انواع الشجر",30874,11
30889,"Complete Binary Tree",30874,10
30888,"(Full + Perfect Binary Tree) الجزء الثاني",30874,9
30887,"(Full + Perfect Binary Tree) الجزء الاول",30874,8
30886,"انواع الشجر ( General| Binary)",30874,7
30885,"اختبار علي كل المصطلحات",30874,6
30884,"Subtree | Depth",30874,5
30883,"Ancestor | Descendant",30874,4
30882,"مصطلحات الشجرة الجزء الثاني | Terminology",30874,3
30880,"الشجرة الحقيقة وصلت | مصطلحات الشجرة",30874,2
30879,"What is Tree | ما هي الشجرة",30874,1
30878,"Linear | Non Linear",30874,0
30873,"Balanced Parentheses | الجزء السادس",30855,17
30872,"Balanced Parentheses | الجزء الخامس",30855,16
30871,"Balanced Parentheses | الجزء الرابع",30855,15
30870,"Balanced Parentheses | الجزء الثالث",30855,14
30869,"Balanced parentheses | الجزء الثاني",30855,13
30868,"Balanced Parentheses | الجزء الاول",30855,12
30867,"Evaluation postfix expression | الجزء الثاني",30855,11
30866,"Evaluation postfix expression | الجزء الاول",30855,10
30865,"Ex3 بالاقواس",30855,9
30864,"Ex2 بالاقواس",30855,8
30863,"Ex1 بالاقواس",30855,7
30862,"امثلة (Infix to Postfix)",30855,6
30861,"حل الواجب",30855,5
30860,"مثال الاول (infix to postfix)",30855,4
30859,"infix to postfix",30855,3
30858,"الفرق بين (Postfix , Prefix , Infix)",30855,2
30857,"مراجعة الاولويات في العمليات الحسابية",30855,1
30856,"مراجعة ال Stack",30855,0
30854,"is Full Function",30829,15
30853,"Is Empty Function",30829,14
30852,"Peek Function",30829,13
30851,"Tracing (Enqueue , Dequeue , Display) Functions",30829,12
30848,"Dequeue | الجزء الثاني",30829,11
30847,"Dequeue | الجزء الاول",30829,10
30844,"Display Function | الجزء الثاني",30829,9
30843,"Display Function |الجزء الاول",30829,8
30838,"Enqueue Function | الجزء الرابع",30829,7
30837,"Enqueue Function | الجزء الثالث",30829,6
30836,"Enqueue Function | الجزء الثاني",30829,5
30835,"Enqueue Function | الجزء الاول",30829,4
30834,"مراجعة باقي القسمة | Modulus",30829,3
30833,"مقدمة عن | Circular Queue",30829,2
30832,"مشكلة Simple Queue",30829,1
30830,"مراجعة الطابور",30829,0
30828,"Delete Last Node | الجزء الثاني",30817,10
30827,"Delete Last Node | الجزء الاول",30817,9
30826,"Delete Node | الجزء الثاني",30817,8
30825,"Delete Node | الجزء الاول",30817,7
30824,"Insert At Beginning | الاضافة في البداية",30817,6
30823,"Display Function",30817,5
30822,"(Insert Node at End ) | الجزء الثاني",30817,4
30821,"(Insert Node at End ) | الجزء الاول",30817,3
30820,"Create First Node",30817,2
30819,"مقدمة عن Circular Linked List",30817,1
30818,"مراجعة | Linked List",30817,0
30182,"تحميل pdf المشاريع",29370,1
28377,"كتاب لغة جافا (مجانا للمشتركين)",24444,0
27680,"Class | Struct",11602,12
27679,"لو حابب تتعلم البرمجة الكائنية (OOP)",11602,15
27385,مشروع,27374,10
27383,"methods with array List",27374,8
27381,"for with array List",27374,6
27379,"تعريف ال Array List",27374,4
27377,"ما هي Array list",27374,2
27375,"هنتعلم ايه في الوحدة دي",27374,0
27372,"إرجاع مصفوفة من دالة",27353,18
27370,"Array with methods",27353,16
27368,"Multi Dimensional Array",27353,14
27366,"العمليات على المصفوفات",27353,12
27364,"التكرار على المصفوفات",27353,10
27362,"خصائص المصفوفات",27353,8
27360,"اعطاء قيم للمصفوفة",27353,6
27358,"تعريف المصفوفة",27353,4
27356,"ما هي المصفوفات",27353,2
27354,"هنتعلم ايه في الوحدة دي",27353,0
27351,"MATH الدوال",27336,14
27349,Math,27336,12
27347,"الدوال المستخدمه مع الاسترنج الجزء التاني",27336,10
27345,"الدوال المستخدمه مع الاسترنج الجزء الاول",27336,8
27343,"special characters | الحروف الخاصة",27336,6
27341,"Concatenation سلسلة",27336,4
27339,"String مقدمة",27336,2
27337,"هنتعلم ايه في الوحدة دي",27336,0
27335,"scope : النطاق",27327,8
27334,مشروع,27327,7
27333,"overloading methods",27327,6
27332,parameters,27327,4
27331,return,27327,3
27330,"انواع الدوال",27327,2
27329,"ازاي اكتب الدالة (Methods Vs function)",27327,1
27328,"ما هي الدوال (مهم جدا)",27327,0
27326,Continue,27317,8
27325,break,27317,7
27324,"do while",27317,6
27323,while,27317,5
27322,"nested for",27317,4
27321,"مشروع جمله for",27317,3
27320,"For Statement part2",27317,2
27319,"For Statement part1",27317,1
27318,"postfix , prefix",27317,0
27316,"مشروع الارقام الزوجية والفردية",27304,7
27315,"logical operator",27304,1
27314,"switch part3",27304,11
27313,"switch part2",27304,10
27312,"switch part1",27304,9
27311,"Ternary operator",27304,8
27310,"مشروع درجه الحرارة",27304,6
27309,"nested if",27304,5
27308,"if Statement part3",27304,4
27307,"if Statement part2",27304,3
27306,"if Statement part1",27304,2
27305,"relational operator",27304,0
27301,"باقي القسمة (Modulus)",27285,12
27300,"ادخال البيانات من المستخدم الجزء الثاني",27285,9
27299,"المتغيرات الجزء الرابع",27285,6
27298,"المتغيرات الجزء الثالث",27285,5
27297,"المتغيرات الجزء الثاني",27285,4
27296,"مشروع الوحدة",27285,17
27295,printf,27285,16
27294,"الاختصارات في العمليات الحسابية",27285,14
27293,"الاولويات في العمليات الحسابية",27285,13
27292,"العمليات الحسابية",27285,11
27291,مشروع,27285,10
27290,"ادخال البيانات من المستخدم الجزء الاول",27285,8
27289,"المتغيرات الجزء الاول",27285,3
27288,"comment and /n",27285,1
27286,"كتابة اول سطر كود (طباعة اسمك)",27285,0
27284,"البداية في لغة جافا",27280,3
27283,"هنكتب كود فين ؟",27280,2
27282,"قصة لغة جافا",27280,1
27281,"ما هي البرمجة ؟",27280,0
27268,"هنعمل ايه بعد كدة ؟",27267,0
27266,"ما هي هياكل البيانات | Data Structure",27265,0
27263,"isEmpty function with linked list",27254,8
27262,"peek function with linked list",27254,7
27261,"Dequeue function linked list part two",27254,6
27260,"Dequeue function linked list part one",27254,5
27259,"display function linked list part two",27254,4
27258,"display function linked list part one",27254,3
27257,"enqueue function Linked list part two",27254,2
27256,"enqueue function part one",27254,1
27255,"عمل الطابور ب اللينكد ليست | Queue linked list",27254,0
27252,"نهاية الوحدة | فخور بيك",27241,10
27251,"هنتعلم ايه | ما هو الطابور (Queue)",27241,0
27250,"front function queue",27241,9
27249,"isFull function queue",27241,8
27248,"isEmpty function queue",27241,7
27247,"Dequeue function part two",27241,6
27246,"Dequeue function part one",27241,5
27245,"display function Queue",27241,4
27244,"enqueue function part two",27241,3
27243,"enqueue function part one",27241,2
27242,"عمل الطابور | Queue with Array",27241,1
27239,"peek function stack using linked list",27234,4
27238,"pop function stack using linked list",27234,3
27237,"Display function using stack linked",27234,2
27236,"push function using linked list",27234,1
27235,"Stack with linked list",27234,0
27232,"نهاية الوحدة | شكرًا",27224,7
27231,"هنتعلم ايه | ما هو الاستاك (Stack)",27224,0
27230,"peek function",27224,6
27229,"pop function",27224,5
27228,"Display function",27224,4
27227,"push function",27224,3
27226,"stack part two",27224,2
27225,"stack part one",27224,1
27222,"نهاية الوحدة | شكرًا",27209,12
27221,"هنتعلم ايه | Double Linked List",27209,0
27220,"Delete last Node part two",27209,11
27219,"Delete Last Node part one",27209,10
27218,"Delete First Node",27209,9
27217,"reverse display function double linked list",27209,8
27216,"Insert Node at beginning Double linked list",27209,7
27215,"Display function at Double linked list",27209,6
27214,"Insert node at double linked list part Three",27209,5
27213,"Insert node at double linked list part Two",27209,4
27212,"Insert node at double linked list part one",27209,3
27211,"Double linked list part two",27209,2
27210,"Double Linked list part one",27209,1
27207,"نهاية الوحدة |شكرًا",27193,13
27206,"هنتعلم ايه في الوحدة | Linked List",27193,0
27205,"Delete Node at the End",27193,12
27204,"Delete Node Linked list part Three",27193,11
27203,"Delete Node Linked List Part two",27193,10
27202,"Delete Node Linked list part one",27193,9
27201,"Delete beginning node",27193,8
27200,"insert Node at beginning",27193,7
27199,"Display function",27193,6
27198,"insert node part three",27193,5
27197,"insert Node function part two",27193,4
27196,"insertNode function part one",27193,3
27195,"ما هي اللينكد الليست الجزء الثاني",27193,2
27194,"مشكلة المصفوفة وما هي اللينكد ليست الجزء الاول",27193,1
27191,"نهاية الوحدة | شكرًا",27178,12
27190,"الجروب الخاص بالكورس",27178,0
27189,"المؤشرات : Pointers",27178,11
27188,"الدرس التاسع : بحث عن عنصر في المصفوفة",27178,10
27187,"الدرس الثامن : حذف عنصر من المصفوفة",27178,9
27186,"الدرس السابع : اضافة عنصر في المصفوفة",27178,8
27185,"الدرس السادس : طبع عناصر المصفوفة بجمله for",27178,7
27184,"الدرس الخامس : معرفة عدد عناصر المصفوفة",27178,6
27183,"الدرس الرابع : ازاي المستخدم يدخل قيم المصفوفة",27178,5
27182,"الدرس الثالث : تغير قيم المصفوفة",27178,4
27181,"الدرس التاني : طريقة كتابة المصفوفة",27178,3
27180,"الدرس الاول : ليه محتاجين المصفوفة",27178,2
27179,"هنتعلم ايه فى الوحدة دي",27178,1
27055,"مشروع الارقام الزوجية والفردية",26732,7
26714,"مشروع الوحدة",26699,17
26819,"scope : النطاق",26800,7
26751,"switch part3",26732,11
26713,printf,26699,16
26817,مشروع,26800,6
26787,Continue,26770,8
26749,"switch part2",26732,10
26712,"الاختصارات في العمليات الحسابية",26699,14
27522,"Multi Dimensional Array الجزء الرابع",26861,9
27521,"Multi Dimensional Array الجزء الثالث",26861,8
27520,"Multi Dimensional Array الجزء الثاني",26861,7
26891,"إرجاع مصفوفة من دالة",26861,11
26887,"Array with methods",26861,10
26876,"Multi Dimensional Array الجزء الاول",26861,6
26846,"MATH الدوال",26831,6
26815,"overloading methods",26800,5
26785,break,26770,7
26747,"switch part1",26732,9
26711,"الاولويات في العمليات الحسابية",26699,13
26999,"باقي القسمة (Modulus)",26699,12
26874,تماريين,26861,5
26844,Math,26831,5
26813,parameters,26800,4
26783,"do while",26770,6
26745,"Ternary operator",26732,8
26710,"العمليات الحسابية",26699,11
26906,"methods with array List الجزء التاني",26895,4
26872,"التكرار على المصفوفات (enhanced for)",26861,4
26842,"الدوال المستخدمه مع الاسترنج الجزء التاني",26831,4
26781,while,26770,5
26743,"مشروع درجه الحرارة",26732,6
26709,مشروع,26699,10
26995,"ادخال البيانات من المستخدم الجزء الثاني",26699,9
26904,"methods with array List الجزء الاول",26895,3
26870,"خصائص المصفوفات",26861,3
26840,"الدوال المستخدمه مع الاسترنج الجزء الاول",26831,3
26809,return,26800,3
26779,"nested for",26770,4
26741,"nested if",26732,5
26708,"ادخال البيانات من المستخدم الجزء الاول",26699,8
26952,"المتغيرات الجزء الرابع",26699,6
26951,"المتغيرات الجزء الثالث",26699,5
26946,"المتغيرات الجزء الثاني",26699,4
26902,"for with array List",26895,2
26868,"اعطاء قيم للمصفوفة",26861,2
26838,"special characters | الحروف الخاصة",26831,2
26807,"انواع الدوال",26800,2
26777,"مشروع جمله for",26770,3
26739,"if Statement part3",26732,4
26707,"المتغيرات الجزء الاول",26699,3
26900,"تعريف ال Array List",26895,1
26866,"تعريف المصفوفة",26861,1
26836,"Concatenation سلسلة",26831,1
26805,"ازاي اكتب الدالة (Methods Vs function)",26800,1
26775,"For Statement part2",26770,2
26737,"if Statement part2",26732,3
26706,"comment and /n",26699,1
26898,"ما هي Array list",26895,0
26864,"ما هي المصفوفات",26861,0
26834,"String مقدمة",26831,0
26803,"ما هي الدوال (مهم جدا)",26800,0
26773,"For Statement part1",26770,1
26735,"if Statement part1",26732,2
27051,"logical operator",26732,1
26771,"postfix , prefix",26770,0
26733,"relational operator",26732,0
26700,"كتابة اول سطر كود (طباعة اسمك)",26699,0
26691,"البداية في لغة جافا",24444,6
26690,"هنكتب كود فين ؟",24444,5
26688,"قصة لغة جافا",24444,3
24445,"ما هي البرمجة ؟",24444,1
24298,"حل مشاكل فيجول استديو",24297,1
24277,"فيجول استدديو",24276,0
24242,"نوشن | Notion",24241,1
24121,"هنعمل ايه بعد كدة ؟",24120,0
24119,"نهاية الوحدة | فخور بيك",11641,10
24118,"هنتعلم ايه | ما هو الطابور (Queue)",11641,0
24117,"نهاية الوحدة | شكرًا",11639,7
24116,"هنتعلم ايه | ما هو الاستاك (Stack)",11639,0
24115,"نهاية الوحدة | شكرًا",11628,12
24114,"هنتعلم ايه | Double Linked List",11628,0
24113,"نهاية الوحدة |شكرًا",11615,13
24112,"هنتعلم ايه في الوحدة | Linked List",11615,0
24111,"ما هي هياكل البيانات | Data Structure",24110,0
24109,"نهاية الوحدة | شكرًا",11602,13
14531,"isEmpty function with linked list",11642,8
14530,"peek function with linked list",11642,7
14529,"Dequeue function linked list part two",11642,6
14528,"Dequeue function linked list part one",11642,5
14527,"display function linked list part two",11642,4
14526,"display function linked list part one",11642,3
14523,"enqueue function Linked list part two",11642,2
14522,"enqueue function part one",11642,1
14521,"عمل الطابور ب اللينكد ليست | Queue linked list",11642,0
13533,"front function queue",11641,9
13532,"isFull function queue",11641,8
13531,"isEmpty function queue",11641,7
13530,"Dequeue function part two",11641,6
13529,"Dequeue function part one",11641,5
13528,"display function Queue",11641,4
13527,"enqueue function part two",11641,3
13526,"enqueue function part one",11641,2
13525,"عمل الطابور | Queue with Array",11641,1
13377,"peek function stack using linked list",11640,4
13376,"pop function stack using linked list",11640,3
13374,"Display function using stack linked",11640,2
13373,"push function using linked list",11640,1
13372,"Stack with linked list",11640,0
12997,"peek function",11639,6
12996,"pop function",11639,5
12993,"Display function",11639,4
12992,"push function",11639,3
12991,"stack part two",11639,2
12990,"stack part one",11639,1
12987,"Delete last Node part two",11628,11
12783,"الجروب الخاص بالكورس",11602,0
11638,"Delete Last Node part one",11628,10
11637,"Delete First Node",11628,9
11636,"reverse display function double linked list",11628,8
11635,"Insert Node at beginning Double linked list",11628,7
11634,"Display function at Double linked list",11628,6
11633,"Insert node at double linked list part Three",11628,5
11632,"Insert node at double linked list part Two",11628,4
11631,"Insert node at double linked list part one",11628,3
11630,"Double linked list part two",11628,2
11629,"Double Linked list part one",11628,1
11627,"Delete Node at the End",11615,12
11626,"Delete Node Linked list part Three",11615,11
